agent,status,date_started,date_ended,total_offers,agreement
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
